201;NT01;Bourgogne romane;
202;NT02;Auvergne romane;
203;NT03;Val de Loire roman;
204;NT05;Poitou Roman;
205;NT06;Touraine romane; 
206;NT07;Roussillon roman;
207;NT09;Anjou roman;
208;NT10;Quercy roman;
209;NT11;Limousin roman;
210;NT14;Angoumois Roman;
211;NT15;Forez-Velay roman;
212;NT17;Rouergue roman;
213;NT22;Alsace romane;
214;NT25,NT41;Normandie romane;
215;NT27;Périgord roman;
216;NT30;Pyrénées romanes; 
217;NT31;Guyenne romane;
218;NT32;Berry roman;
219;NT33;Saintonge romane;
220;NT36;Corse romane;
221;NT42;Haut-Poitou roman; 
222;NT43;Languedoc roman;
223;NT44;Vendée romane;
224;NT45;Nivernais-Bourbonnais romans;
225;NT40,NT46;Provence romane;
226;NT48;Haut-Languedoc roman;
227;NT49;Gascogne romane; 
228;NT52;Franche-Comté,Bresse roman;
229;NT54;Alpes romanes;
230;NT55;Champagne romane;
231;NT58;Bretagne romane;
232;NT60;Ile-de-France romane;
233;NT61;Lorraine romane;
234;NT64;Maine roman;
235;NT73;Lyonnais-Savoie romans;
236;NT75;Vivarais Gévaudan romans;
237;NT77;Dauphiné roman;
238;NT82;Nord roman;
